seq,mode,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,fscore@10cm,fscore@1cm,fscore@20cm,fscore@2cm,fscore@50cm,fscore@5cm,precision@10cm,precision@1cm,precision@20cm,precision@2cm,precision@50cm,precision@5cm,amb_n_points,amb_accuracy_median_m,n_ambiguous_measurements,mode2_selected_frac,mode_correct_frac,mode2_correct_frac,primary_correct_frac,bimodal_over_primary,oracle_within_tau_frac,selection_cost_mean_m,dist_selected_median_m,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_err_median_deg,trans_err_median,psnr,ssim,lpips,num_GS
facade,bimodal,2860,0.15352519811776297,0.19748587142578014,0.5216137209172085,0.00879465845785929,8.218350853195477e-06,0.06658381773312913,6.3280214844811e-05,0.34881651087520105,0.00106621485111843,0.30034965034965033,0.016433566433566433,0.6356643356643357,0.04230769230769231,0.9447552447552447,0.13706293706293707,,,,,,,,,,,,0.1499,0.3219,0.4836,0.5943198204040527,0.2795521020889282,16.44907569885254,0.5218978524208069,0.5082389116287231,4195388.0
kicker,none,1005,0.0186169905543044,0.027088490671210018,0.07779352238670886,0.10580488216398924,0.0006431777949676702,0.20763871106939014,0.004928883885282682,0.4460631030670351,0.03983370822218096,0.9761194029850746,0.21393034825870647,0.9970149253731343,0.5293532338308458,0.9990049751243781,0.881592039800995,,,,,,,,,,,,0.3275,0.6599,0.8125,0.242000013589859,0.024296430870890617,19.485868453979492,0.7542619705200195,0.34944483637809753,1411172.0
kicker,unimodal,1002,0.02029613005398589,0.028312276910495773,0.07806929048105415,0.10315319593884047,0.0006795012641396281,0.20216853927332573,0.0046385403926704795,0.4475889345684802,0.03782348132702116,0.969061876247505,0.2435129740518962,0.9960079840319361,0.4930139720558882,0.999001996007984,0.8802395209580839,341.0,0.018240533394826165,832.0,0.0625,0.78125,0.5192307692307693,0.7788461538461539,0.0024038461538461453,0.9038461538461539,0.012265683498660732,0.020190029903567608,0.311,0.6534,0.8099,0.31839463114738464,0.019490886479616165,19.78350830078125,0.7600303888320923,0.3416285216808319,1395244.0
kicker,drop_ambiguous,1005,0.020379215238021588,0.028008959443244982,0.07563138886023016,0.10771661850078787,0.0006793850375839956,0.2088730375863215,0.0045550676085827635,0.447937053431418,0.039050567935599884,0.9751243781094527,0.21691542288557214,0.9960199004975124,0.48756218905472637,0.9990049751243781,0.8756218905472637,341.0,0.018698556270876864,839.0,0.06793802145411204,0.7759237187127532,0.49122807017543857,0.7771156138259833,-0.0011918951132300348,0.8927294398092968,0.011983132186113923,0.019096694412482434,0.3501,0.683,0.8277,0.28870275616645813,0.019752245396375656,20.045413970947266,0.7601231336593628,0.3409651219844818,1401055.0
kicker,bimodal,1005,0.018752397379144373,0.027179424498452315,0.07835785169861337,0.10480102823741491,0.0006825689930877821,0.20610893800776736,0.004960870002294475,0.4476079711182972,0.039565061460983805,0.9701492537313433,0.23482587064676616,0.9970149253731343,0.5323383084577115,0.9990049751243781,0.8776119402985074,343.0,0.01777326870532997,842.0,0.06769596199524941,0.7672209026128266,0.5087719298245614,0.7660332541567696,0.001187648456057011,0.8871733966745843,0.012659983416519935,0.021657788478603023,0.3467,0.6784,0.8245,0.2918057441711426,0.02019333466887474,19.64956283569336,0.7630473971366882,0.3436645567417145,1414401.0
meadow,none,1168,0.14857551833189353,1.0653451282141744,5.99834908511868,0.023762491193416193,3.629810531301306e-05,0.08911104129656308,0.0002934777188522873,0.24269847178677229,0.003935438314249231,0.4186643835616438,0.06335616438356165,0.574486301369863,0.125,0.7029109589041096,0.2833904109589041,,,,,,,,,,,,0.0279,0.181,0.337,1.0824472904205322,0.12496315687894821,12.188313484191895,0.46577510237693787,0.4901120960712433,3373448.0
meadow,unimodal,925,0.14803558664329955,0.6986036350668821,3.908454467685612,0.008155846687579387,3.7485257031968428e-06,0.06862374546093698,3.25388420409678e-05,0.23957400385203073,0.0007439358309478857,0.2691891891891892,0.00972972972972973,0.6291891891891892,0.025945945945945945,0.8324324324324325,0.09405405405405405,123.0,0.1536693398127411,209.0,0.06220095693779904,0.7559808612440191,0.5384615384615384,0.7511961722488039,0.004784688995215225,0.05263157894736842,0.20495042275577477,0.2937787389493721,0.0189,0.135,0.2687,1.7029691934585571,0.12732496857643127,13.34782600402832,0.5405487418174744,0.5003746151924133,3287439.0
meadow,drop_ambiguous,947,0.14355657129096003,0.7032939549897387,3.80443909957433,0.009172854374087764,3.7482973253714427e-06,0.07159264828441031,3.175083778924131e-05,0.23937326774375486,0.0007909210031565483,0.30834213305174235,0.007391763463569166,0.6219640971488912,0.026399155227032733,0.8183738120380147,0.1003167898627244,144.0,0.15474035974439926,244.0,0.07377049180327869,0.7459016393442623,0.5,0.7459016393442623,0.0,0.02459016393442623,0.22203112957936727,0.29471190472940356,0.0184,0.1321,0.2645,1.6470544338226318,0.1220492497086525,13.404982566833496,0.5370100736618042,0.48666906356811523,3299621.0
meadow,bimodal,936,0.1397219682808552,0.6904460120145164,3.804499496456482,0.009073725104387347,3.551263174446531e-06,0.07187268669701725,2.997839780321457e-05,0.24145246042939705,0.0007792088957225465,0.31303418803418803,0.009615384615384616,0.6292735042735043,0.028846153846153848,0.8279914529914529,0.1014957264957265,136.0,0.1482998085212479,238.0,0.07563025210084033,0.7689075630252101,0.4444444444444444,0.7773109243697479,-0.008403361344537785,0.025210084033613446,0.21976863485157497,0.2824664623997737,0.0155,0.1287,0.2624,1.6655596494674683,0.1291259229183197,11.684513092041016,0.4779490828514099,0.5318605899810791,3231453.0
office,none,1563,0.01910310882775847,0.046435801963757066,0.17277539704705688,0.16387346423298715,0.002781372504552427,0.28903910571625746,0.015011315878403533,0.5311429720577754,0.07529014260563634,0.8694817658349329,0.309660908509277,0.9667306461932181,0.510556621880998,0.9987204094689699,0.7370441458733206,,,,,,,,,,,,0.1137,0.2545,0.3463,0.37743261456489563,0.014955766499042511,16.964916229248047,0.8063280582427979,0.231390580534935,1409590.0
office,unimodal,1534,0.020514571479156106,0.06279209181556875,0.24786632848343368,0.14644380530250917,0.002561858131021004,0.25543180370511376,0.014308806751348806,0.515352110380988,0.06905735290348479,0.8005215123859192,0.3089960886571056,0.9289439374185137,0.4915254237288136,0.9876140808344198,0.6642764015645372,625.0,0.016447581078397208,1654.0,0.14510278113663846,0.6856106408706167,0.3875,0.7182587666263603,-0.03264812575574361,0.9613059250302297,0.01212534773783085,0.012539528784483951,0.1165,0.2548,0.3461,0.35030603408813477,0.012919135391712189,16.53597640991211,0.7927811741828918,0.24018418788909912,1243408.0
office,drop_ambiguous,1544,0.019315514693367807,0.06567058251366167,0.2630350341897919,0.14386431747422615,0.0027720383185499704,0.2520443338006052,0.014987565642497576,0.5041253305743228,0.06964694917824399,0.8018134715025906,0.31930051813471505,0.9209844559585493,0.508419689119171,0.9786269430051814,0.6923575129533679,630.0,0.01427113940460066,1691.0,0.1537551744529864,0.6883500887049083,0.35384615384615387,0.7332939089296274,-0.0449438202247191,0.9621525724423418,0.011805541349413131,0.010763201506365684,0.1099,0.2512,0.3452,0.35758429765701294,0.013251189142465591,17.19811248779297,0.8151776790618896,0.22507964074611664,1489947.0
office,bimodal,1545,0.02027397330003077,0.06805345957622362,0.28946211405590216,0.14381376665709167,0.002592631397870876,0.25042625587232076,0.014407649442884411,0.498743820215495,0.06979886002619075,0.8064724919093851,0.30032362459546924,0.9171521035598705,0.49579288025889967,0.9779935275080907,0.6906148867313916,631.0,0.01516937771722714,1682.0,0.14982164090368608,0.6872770511296076,0.44047619047619047,0.7051129607609988,-0.017835909631391256,0.9607609988109393,0.011860473171240117,0.012010123135668934,0.1048,0.2457,0.3403,0.32410186529159546,0.012870194390416145,16.006988525390625,0.7928308844566345,0.2405630648136139,1513522.0
pipes,none,1731,0.04540655364307643,0.05885359109954894,0.15431852977040972,0.15694992050538964,0.0002674871373850642,0.30214948190180196,0.0023118318937943687,0.5175334233138374,0.03946855706764112,0.8723281340265743,0.046216060080878106,0.97631426920855,0.1340265742345465,1.0,0.5580589254766031,,,,,,,,,,,,0.2022,0.538,0.7375,0.33288079500198364,0.019359517842531204,15.53548526763916,0.8046667575836182,0.2596975564956665,1913201.0
