sequence,depth_model,gap_thresh,job_id,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,precision@2.5cm,precision@5cm,recall@5cm,fscore@2.5cm,fscore@5cm,psnr,ssim,lpips,num_GS,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_error_median_deg,trans_error_median,num_depth_factors_unimodal,num_depth_factors_bimodal,num_depth_factors_dropped_ambiguous,num_depth_factors_skipped
office3,unimodal,0.0,9869505,6475.0,0.4362658818929024,0.8172058173803897,2.715884524792936,0.25328185328185326,0.2823166023166023,0.091381,0.05114762714815802,0.1380708534192663,34.30379104614258,0.948156476020813,0.05695425719022751,750451.0,0.8198,0.9268,0.9633,0.052984483540058136,0.0030459468252956867,54887.0,0.0,0.0,1038.0
office4,bimodal,0.05,9869518,,,,,,,,,,,,,,,,,,,,,,
office4,bimodal,0.10,9869519,,,,,,,,,,,,,,,,,,,,,,
office4,bimodal,0.15,9869521,,,,,,,,,,,,,,,,,,,,,,
office4,drop_ambiguous,0.05,9869514,,,,,,,,,,,,,,,,,,,,,,
office4,drop_ambiguous,0.10,9869515,,,,,,,,,,,,,,,,,,,,,,
office4,drop_ambiguous,0.15,9869517,,,,,,,,,,,,,,,,,,,,,,
office4,none,0.0,9869512,,,,,,,,,,,,,,,,,,,,,,
office4,unimodal,0.0,9869513,,,,,,,,,,,,,,,,,,,,,,
room0,bimodal,0.05,9869548,,,,,,,,,,,,,,,,,,,,,,
room0,bimodal,0.10,9869549,,,,,,,,,,,,,,,,,,,,,,
room0,bimodal,0.15,9869550,,,,,,,,,,,,,,,,,,,,,,
room0,drop_ambiguous,0.05,9869524,,,,,,,,,,,,,,,,,,,,,,
room0,drop_ambiguous,0.10,9869525,,,,,,,,,,,,,,,,,,,,,,
room0,drop_ambiguous,0.15,9869526,,,,,,,,,,,,,,,,,,,,,,
room0,none,0.0,9869522,17243.0,1.912835434412772,2.101108239981631,4.0877923644093705,0.0023777764890100333,0.0033056892652090705,0.086867,0.004270491615634898,0.006369008437939716,33.450439453125,0.9396369457244873,0.04701707884669304,976731.0,0.8518,0.9405,0.9703,0.030080031603574753,0.0018155958969146013,0.0,0.0,0.0,0.0
room0,unimodal,0.0,9869523,,,,,,,,,,,,,,,,,,,,,,
room1,bimodal,0.05,9869557,,,,,,,,,,,,,,,,,,,,,,
room1,bimodal,0.10,9869560,,,,,,,,,,,,,,,,,,,,,,
room1,bimodal,0.15,9869561,,,,,,,,,,,,,,,,,,,,,,
room1,drop_ambiguous,0.05,9869553,,,,,,,,,,,,,,,,,,,,,,
room1,drop_ambiguous,0.10,9869555,,,,,,,,,,,,,,,,,,,,,,
room1,drop_ambiguous,0.15,9869556,,,,,,,,,,,,,,,,,,,,,,
room1,none,0.0,9869551,27383.0,1.2401368364356893,1.4415660855534813,2.892351129303227,0.0,0.0,0.0,0.0,0.0,35.98490905761719,0.9546317458152771,0.03988441079854965,1152677.0,0.8249,0.9267,0.9628,0.029942449182271957,0.0021171681582927704,0.0,0.0,0.0,0.0
room1,unimodal,0.0,9869552,,,,,,,,,,,,,,,,,,,,,,
room2,bimodal,0.05,9869575,6985.0,0.006969485237392221,0.15926126526867102,1.3266523424409422,0.7481746599856836,0.7811023622047244,0.112818,0.08186943530885869,0.19715941156519026,36.611297607421875,0.9603423476219177,0.042328447103500366,858101.0,0.8912,0.9562,0.9781,0.03213627263903618,0.0015087226638570428,48880.0,6204.0,0.0,74.0
room2,bimodal,0.10,9869576,6995.0,0.00666928261215963,0.15857831054279825,1.3252304685802858,0.7526804860614725,0.7824160114367406,0.111721,0.08308984635627233,0.19552327684828968,36.74472427368164,0.960527241230011,0.0421195887029171,862144.0,0.8921,0.9566,0.9783,0.02772040106356144,0.001691910088993609,51957.0,3069.0,0.0,75.0
room2,bimodal,0.15,9869577,6992.0,0.006567797150270147,0.1587140815046785,1.3232879639930961,0.7531464530892449,0.7833237986270023,0.111691,0.08388140720353078,0.19550563527365783,36.60487365722656,0.9599988460540771,0.04230310767889023,857052.0,0.8918,0.9565,0.9782,0.02694823034107685,0.0018019715789705515,52691.0,2316.0,0.0,75.0
room2,drop_ambiguous,0.05,9869567,7034.0,0.006705936549673703,0.15850960956420015,1.3128769108020375,0.7468012510662496,0.7793574068808644,0.111304,0.08237917344534573,0.19478916711852295,36.643699645996094,0.9602845907211304,0.04253646358847618,855600.0,0.8928,0.9568,0.9784,0.025617524981498718,0.00175060227047652,48863.0,0.0,6271.0,75.0
room2,drop_ambiguous,0.10,9869568,7006.0,0.006636415906645471,0.1585308897995549,1.3158880421576098,0.7509277761918356,0.7819012275192692,0.11208,0.08349310746392664,0.19605666625358925,36.32351303100586,0.9591535329818726,0.04311972111463547,855578.0,0.8899,0.9557,0.9778,0.02646619826555252,0.0017465397249907255,51981.0,0.0,3085.0,75.0
room2,drop_ambiguous,0.15,9869573,7000.0,0.006650143522497836,0.1586144078814098,1.3184123873058666,0.7521428571428571,0.7837142857142857,0.111561,0.0835327202857843,0.19531858149935366,36.39727020263672,0.9592406153678894,0.04354208707809448,856614.0,0.8891,0.9553,0.9777,0.028468310832977295,0.002037138445302844,52749.0,0.0,2333.0,75.0
room2,none,0.0,9869565,7119.0,0.00754168179372651,0.16311750253168744,1.321829253515018,0.7242590251439809,0.7593763168984408,0.105371,0.07925285693726797,0.18506271213398406,36.551292419433594,0.9593557715415955,0.04301154986023903,845038.0,0.8715,0.9483,0.9741,0.02791903354227543,0.0022331716027110815,0.0,0.0,0.0,0.0
room2,unimodal,0.0,9869566,,,,,,,,,,,,,,,,,,,,,,
